SampleName,Date,Time,SiO2,Al2O3,CaO,MgO,Mn,FeO,P,S,TiO2,K2O,Intensity Scale
----------,----,----,%,%,%,%,%,%,%,%,%,%,%
AF01__86402,09-Jan-2021,10:17:54,39.73,18.86,28.44,7.44,1.01,2.42,0.001,0.07,0.90,1.14,100.79
AF01__86407,09-Jan-2021,11:46:46,40.13,19.26,27.11,7.26,1.01,2.99,0.001,0.06,0.93,1.24,101.21
AF01__86408,09-Jan-2021,12:34:07,41.68,19.65,26.67,7.82,0.90,1.16,0.001,0.07,0.86,1.20,98.35
AF01__86410,09-Jan-2021,13:58:13,40.16,19.39,27.26,7.55,1.05,2.23,0.001,0.06,0.89,1.41,101.78
AF01__86412,09-Jan-2021,15:50:28,39.59,20.02,28.74,7.82,0.51,1.69,0.001,0.09,0.73,0.82,97.84
AF01__86416,09-Jan-2021,16:39:25,39.34,19.35,29.87,7.55,0.81,0.85,0.001,0.08,0.88,1.26,108.08
AF01__86418,09-Jan-2021,18:21:54,40.10,19.14,28.16,7.52,1.02,1.32,0.001,0.07,0.93,1.74,105.80
AF01__86419,09-Jan-2021,19:02:57,40.17,19.91,28.28,7.42,0.84,0.98,0.001,0.07,0.91,1.41,103.48
AF01__86422,09-Jan-2021,21:01:30,39.47,19.29,28.88,7.51,0.73,1.59,0.001,0.08,0.87,1.57,103.76
AF01__86423,09-Jan-2021,21:28:16,40.21,19.35,28.24,7.48,0.82,1.41,0.001,0.08,0.85,1.57,103.18
AF01__86426,09-Jan-2021,23:16:17,39.98,18.97,29.29,7.34,0.82,1.14,0.001,0.08,0.90,1.49,107.26
AF01__86428,09-Jan-2021,23:56:12,40.08,19.31,28.67,7.39,0.85,1.19,0.001,0.07,0.90,1.53,105.03
AF01_1H30__86433,10-Jan-2021,02:07:23,40.35,19.41,28.63,7.92,0.55,1.30,0.001,0.09,0.71,1.04,100.46
AF01__86435,10-Jan-2021,02:53:16,42.03,19.69,26.41,7.38,0.85,1.36,0.001,0.07,0.88,1.33,98.22
AF01_4H30__86440,10-Jan-2021,05:03:45,39.92,18.26,28.64,7.36,0.89,2.91,0.001,0.07,0.87,1.08,100.49
AF01_5H20__86442,10-Jan-2021,05:56:45,41.15,20.17,26.42,7.35,0.87,1.96,0.001,0.06,0.88,1.14,96.80
AF01__86445,10-Jan-2021,07:47:45,40.32,18.91,28.65,7.51,0.81,1.79,0.001,0.08,0.83,1.10,99.05
AF01__86449,10-Jan-2021,09:34:42,41.29,19.41,27.04,7.24,0.81,2.19,0.001,0.07,0.82,1.13,97.28
AF01__86453,10-Jan-2021,10:25:36,40.03,19.44,27.22,7.36,0.87,2.83,0.001,0.06,0.90,1.27,100.80
AF01__86456,10-Jan-2021,12:34:21,41.71,18.62,26.51,7.56,0.98,2.32,0.001,0.05,0.86,1.38,98.23
AF01__86460,10-Jan-2021,13:30:05,40.51,19.17,26.59,7.19,0.85,3.53,0.001,0.06,0.85,1.26,97.14
AF01__86461,10-Jan-2021,13:51:41,41.05,19.52,27.97,7.44,0.81,1.26,0.001,0.07,0.82,1.07,98.35
AF01__86462,10-Jan-2021,14:21:42,40.65,19.28,27.74,7.25,0.97,1.85,0.001,0.06,0.87,1.33,99.86
AF01__86464,10-Jan-2021,16:26:31,40.31,18.68,29.00,7.08,0.97,1.71,0.001,0.06,0.91,1.27,107.58
AF01__86467,10-Jan-2021,18:16:35,40.37,18.43,29.56,7.25,0.84,1.29,0.001,0.07,0.90,1.28,108.63
AF01__86468,10-Jan-2021,18:35:02,40.20,18.22,29.78,7.09,0.89,1.56,0.001,0.07,0.89,1.29,111.71
AF01__86471,10-Jan-2021,21:13:28,40.27,18.17,29.37,7.23,1.02,1.77,0.001,0.06,0.88,1.24,105.83
AF01__86472,10-Jan-2021,22:10:44,39.97,19.07,29.62,7.39,0.80,1.07,0.001,0.07,0.89,1.11,105.05
AF01__86475,11-Jan-2021,00:00:45,39.70,18.34,29.16,7.22,0.91,2.47,0.001,0.07,0.89,1.23,104.14
AF01_1H40__86479,11-Jan-2021,01:59:30,41.31,19.47,26.99,7.34,0.96,1.74,0.001,0.06,0.87,1.26,100.89
AF01__86483,11-Jan-2021,02:42:25,41.54,20.01,26.69,7.39,0.88,1.32,0.001,0.06,0.87,1.23,99.74
AF01_4H10__86485,11-Jan-2021,05:09:07,42.30,20.05,26.31,7.31,0.83,1.20,0.001,0.06,0.84,1.09,96.71
