SampleName,Date,Time,SiO2,Al2O3,CaO,MgO,Mn,FeO,P,S,TiO2,K2O,Intensity Scale
----------,----,----,%,%,%,%,%,%,%,%,%,%,%
G000820__88052,22-Feb-2021,01:20:37,0.61,43.5,30.5,7.5,4.4,3.21,9.2,0.07,0.43,0.49,113.57
G000822__88056,22-Feb-2021,02:52:32,0.61,49.4,24.1,8.0,3.4,2.84,10.7,0.06,0.46,0.40,110.44
G000823__88058,22-Feb-2021,03:35:29,0.56,47.4,26.0,8.0,3.7,2.99,10.5,0.06,0.43,0.42,109.89
G000825__88063,22-Feb-2021,06:21:48,0.59,42.4,32.0,9.9,3.5,2.61,8.2,0.08,0.32,0.38,105.29
G000826__88068,22-Feb-2021,08:50:21,0.63,49.2,25.5,8.2,3.7,2.96,9.0,0.08,0.35,0.38,106.48
PADRAO__88071,22-Feb-2021,09:18:49,0.68,39.0,37.2,7.2,5.4,1.98,7.9,0.08,0.32,0.30,106.47
G000828__88087,22-Feb-2021,14:14:36,0.70,43.7,23.3,11.8,3.6,3.50,12.6,0.07,0.26,0.41,104.81
G000829__88089,22-Feb-2021,14:41:18,0.80,43.6,25.1,9.5,3.4,3.32,13.6,0.07,0.23,0.48,105.94
G000831__88096,22-Feb-2021,17:02:50,0.89,46.8,28.4,5.9,3.5,3.55,10.2,0.09,0.23,0.50,118.35
G000832__88097,22-Feb-2021,18:01:30,0.58,40.2,37.1,6.2,2.9,2.90,9.4,0.07,0.21,0.42,110.50
G000833__88100,22-Feb-2021,19:50:28,0.66,39.1,33.4,8.8,3.1,2.88,11.5,0.07,0.20,0.43,108.35
G000834__88102,22-Feb-2021,20:53:37,0.70,39.9,35.7,7.6,2.4,2.87,10.2,0.07,0.18,0.38,103.25
G000835__88104,22-Feb-2021,22:02:56,0.63,43.8,27.6,9.6,3.3,3.32,10.8,0.06,0.41,0.46,106.42
G000835__88106,22-Feb-2021,23:00:22,14.89,29.8,1.9,9.4,1.3,0.72,40.8,0.06,1.04,0.13,119.26
G000836__88107,22-Feb-2021,23:07:29,0.58,43.8,27.7,9.6,3.2,3.30,10.9,0.06,0.38,0.47,106.20
G000837__88108,22-Feb-2021,23:57:02,1.01,41.5,29.7,10.7,3.6,2.97,9.7,0.06,0.34,0.44,104.18
PADRAO__88110,23-Feb-2021,00:10:23,0.67,39.4,37.1,7.0,5.4,1.97,7.8,0.09,0.30,0.30,105.87
G000838__88117,23-Feb-2021,06:28:55,0.83,45.6,27.9,5.9,5.6,3.88,9.4,0.07,0.28,0.55,113.38
G000840__88119,23-Feb-2021,07:24:12,0.56,51.7,21.6,9.6,4.3,4.00,7.4,0.08,0.25,0.50,112.31
2113__88123,23-Feb-2021,09:02:56,0.68,39.1,37.1,7.1,5.4,2.00,7.9,0.09,0.33,0.31,105.19
G000841__88124,23-Feb-2021,09:08:44,0.68,39.2,37.0,7.2,5.4,1.99,7.8,0.08,0.33,0.30,105.62
G000841__88125,23-Feb-2021,09:13:11,0.56,45.2,25.2,7.1,5.1,4.66,11.1,0.08,0.31,0.70,107.90
G000842__88127,23-Feb-2021,10:25:31,0.64,35.8,37.4,7.8,3.6,3.07,10.8,0.07,0.27,0.50,100.99
G000844__88130,23-Feb-2021,13:10:35,0.64,44.8,23.6,13.0,3.8,3.20,10.1,0.07,0.33,0.50,105.31
G000844__88138,23-Feb-2021,15:47:39,1.03,40.0,29.1,11.6,4.5,2.82,9.9,0.06,0.40,0.50,104.96
G000848__88146,23-Feb-2021,20:48:07,0.74,40.5,28.6,11.6,4.5,2.80,10.3,0.06,0.42,0.45,103.99
G000849__88148,23-Feb-2021,22:00:55,0.81,44.1,27.0,9.4,4.3,2.97,10.4,0.06,0.43,0.49,111.32
G000850__88151,23-Feb-2021,23:56:49,0.73,45.7,25.1,9.2,4.5,3.21,10.6,0.07,0.47,0.54,112.26
PADRAO__88154,24-Feb-2021,00:15:57,0.66,39.5,37.1,7.0,5.4,1.97,7.7,0.09,0.33,0.28,105.86
G000851__88157,24-Feb-2021,02:44:43,0.83,49.7,22.9,8.2,4.6,4.05,8.8,0.09,0.23,0.59,114.95
G000854__88162,24-Feb-2021,04:58:25,0.77,43.6,29.9,7.1,4.3,3.02,10.2,0.07,0.48,0.53,117.67
